team,champion
France,0.2133
Spain,0.19615
England,0.14945
Argentina,0.11875
Portugal,0.09395
Brazil,0.08445
Belgium,0.03255
Germany,0.03145
Netherlands,0.0295
Colombia,0.0119
Switzerland,0.00795
Croatia,0.00595
Morocco,0.00375
Senegal,0.0036
Uruguay,0.00345
Japan,0.00305
Norway,0.00205
Mexico,0.0015
United States,0.00135
Ecuador,0.0013
Sweden,0.0011
Austria,0.0007
Turkiye,0.0007
Canada,0.00065
Korea Republic,0.0005
Iran,0.00045
Ivory Coast,0.0004
Algeria,0.0001
Czechia,0.0
South Africa,0.0
Bosnia-Herzegovina,0.0
Qatar,0.0
Australia,0.0
Paraguay,0.0
Haiti,0.0
Scotland,0.0
Curacao,0.0
Tunisia,0.0
Egypt,0.0
New Zealand,0.0
Saudi Arabia,0.0
Cape Verde,0.0
Jordan,0.0
Iraq,0.0
Uzbekistan,0.0
Congo DR,0.0
Ghana,0.0
Panama,0.0
